winner,fighter_red,fighter_blue,age_diff,height_diff,reach_diff,sig_strike_diff,sig_accuracy_diff,td_diff,td_accuracy_diff,submission_diff,wins_diff,losses_diff,win_streak_diff,lose_streak_diff,strike_defense_diff,td_defense_diff,title_fight,rounds
Red,Anthony Smith,Andrew Sanchez,-1,7.6200000000000045,5.079999999999984,-16.75,-0.07200000000000001,-2.5,-0.15,0.5,0,2,-1,0,-0.07200000000000001,-0.15,False,3
Red,Zak Cummings,Nathan Coy,-6,5.079999999999984,15.240000000000009,1.7143000000000015,-0.02799999999999997,-1.0,-0.48700000000000004,0.5714,4,1,0,0,-0.02799999999999997,-0.48700000000000004,False,3
Blue,Ashlee Evans-Smith,Ketlen Vieira,4,0.0,-2.539999999999992,33.3333,0.30000000000000004,-2.6667,-0.193,0.0,1,1,1,0,0.30000000000000004,-0.193,False,3
Red,Daniel Cormier,Anthony Johnson,5,-7.6200000000000045,-15.240000000000009,36.9306,0.009000000000000008,0.75,0.13999999999999996,0.3472,-6,-4,0,0,0.009000000000000008,0.13999999999999996,True,5
Blue,Chris Weidman,Gegard Mousasi,1,0.0,5.0800000000000125,-6.181799999999999,-0.03699999999999998,1.4545,0.305,0.36369999999999997,1,-1,-4,2,-0.03699999999999998,0.305,False,3
Red,Cynthia Calvillo,Pearl Gonzalez,-1,0.0,-10.159999999999997,,,,,,1,0,1,0,,,False,3
Red,Thiago Alves,Patrick Cote,-4,-5.0800000000000125,-2.539999999999992,6.433300000000003,-0.0020000000000000018,0.023800000000000043,0.15199999999999997,0.0857,3,-2,0,1,-0.0020000000000000018,0.15199999999999997,False,3
Blue,Will Brooks,Charles Oliveira,3,0.0,-5.0800000000000125,24.8235,0.21599999999999997,1.2059,-0.07200000000000001,-1.2941,-8,-7,0,-1,0.21599999999999997,-0.07200000000000001,False,3
Red,Myles Jury,Mike de la Torre,-2,-2.539999999999992,5.079999999999984,-0.7916999999999987,-0.07700000000000001,1.4583,0.32999999999999996,0.25,4,-2,0,1,-0.07700000000000001,0.32999999999999996,False,3
Red,Kamaru Usman,Sean Strickland,3,-2.539999999999992,0.0,-12.916699999999999,0.16799999999999993,3.1667,0.09299999999999997,0.0,-1,-1,1,0,0.16799999999999993,0.09299999999999997,False,3
Red,Shane Burgos,Charles Rosa,-4,5.0800000000000125,15.240000000000009,25.5,0.010000000000000009,-2.25,0.602,-1.25,-1,-2,0,0,0.010000000000000009,0.602,False,3
Red,Patrick Cummins,Jan Blachowicz,2,0.0,-5.0800000000000125,-5.225000000000001,0.0020000000000000018,2.75,0.0050000000000000044,-0.07500000000000001,2,1,0,1,0.0020000000000000018,0.0050000000000000044,False,3
Red,Gregor Gillespie,Andrew Holbrook,-1,-10.159999999999997,2.539999999999992,23.6667,-0.12699999999999995,4.3333,-0.07300000000000001,-1.6667,-1,-1,0,0,-0.12699999999999995,-0.07300000000000001,False,3
